SourceID,uri,SourceAgency,SourceDataset,SourceFeatureURL,FeatureType,Latitude,Longitude,ReachCode,Measure,GNIS_NAME,ReachSMDate,AddressDate,Catchment,HU,OnNetwork,HydroAddressID,GNIS_NAME,GNIS_ID,SnapTolerance,SnapDistance,InSnapTolerance,QCTolerance,InQCTolerance,QCApproved,NHDPv2ReachCode,NHDPv2Measure,ObjectId,x,y
TX05845,https://geoconnex.us/iow/demo/TX05845,,,,,34.64833,-101.8567,11120104003353,11.83387,Location abf,12/29/11 0:00,3/1/22 1:31,0,,1,0b453051-3c03-4441-beee-f409099f1a00,,,250,60.6916,1,250,1,1,1.11201E+13,0,1,-101.8569163,34.64793312
TX04180,https://geoconnex.us/iow/demo/TX04180,,,,,34.565,-101.7283,11120104001618,51.40588,Location cdf,12/29/11 0:00,3/1/22 1:31,0,,1,6dd51116-2306-4e22-a48e-3ff7e06326b4,,,250,18.4839,1,250,1,1,1.11201E+13,0,2,-101.72849,34.56503646
TX03713,https://geoconnex.us/iow/demo/TX03713,,,,,34.68,-101.9983,11120104001376,23.39122,Roaring fork,12/29/11 0:00,3/1/22 1:31,0,,1,9e5e32a1-04b3-4ea4-9e73-d889c3d6a980,,,250,24.1677,1,250,1,1,1.11201E+13,73.32729,3,-101.9983311,34.68017853
TX03714,https://geoconnex.us/iow/demo/TX03714,,,,,34.68128,-102.0195,11120104001376,68.86861,Snake River,12/29/11 0:00,3/1/22 1:31,0,,1,2bc7a464-7140-497c-92a5-61283f8e63c9,,,250,0.112321,1,250,1,1,1.11201E+13,73.32729,4,-102.0194525,34.6812777
TX06624,https://geoconnex.us/iow/demo/TX06624,,,,,34.61833,-100.2833,11120105000037,30.98668,Salt Creek,3/3/17 17:05,3/1/22 1:31,0,,1,e2965b0f-1165-43ae-b6b3-f074ea112501,Salt Creek,,250,9.24633,1,250,1,1,1.11201E+13,0,5,-100.283354,34.61839792
TX03698,https://geoconnex.us/iow/demo/TX03698,,,,,35.00083,-100.8948,11120201000062,95.16322,Salt Fork Red River,12/29/11 0:00,3/1/22 1:29,0,,1,7230f708-f350-4646-8b9a-7e7cb191cbab,Salt Fork Red River,,250,0.174918,1,250,1,1,1.11202E+13,0,6,-100.8947979,35.00083204
TX02130,https://geoconnex.us/iow/demo/TX02130,,,,,35.21632,-100.8627,11120301001319,40.27132,McClellan Creek,12/29/11 0:00,3/1/22 1:29,0,,1,cd67647e-ded2-4517-908a-3ff2fb171b90,McClellan Creek,,250,39.9736,1,250,1,1,1.11203E+13,0,7,-100.8623792,35.21616678
TX03650,https://geoconnex.us/iow/demo/TX03650,,,,,35.30176,-101.2816,11120301000091,51.22846,McClellan Creek,3/7/17 9:56,3/1/22 1:29,0,,1,4786a566-8a64-4723-8cf9-d27461304fb6,McClellan Creek,,250,0.178442,1,250,1,1,1.11203E+13,23.99712,8,-101.2816272,35.30175815
TX00775,https://geoconnex.us/iow/demo/TX00775,,,,,33.88282,-97.65267,11130201001428,0,Farmers Creek,12/29/11 0:00,3/1/22 1:31,0,,1,ef3a650e-ac41-42c5-936a-00bdfa7df4e5,Farmers Creek,,250,18.2798,1,250,1,1,1.11302E+13,0,9,-97.65260889,33.88269481
TX00579,https://geoconnex.us/iow/demo/TX00579,,,,,33.77388,-97.21418,11130201001431,0,South Fish Creek,12/29/11 0:00,3/1/22 1:31,0,,1,d7579ab1-98ba-4906-a02a-e1e6e0da33c0,South Fish Creek,,250,39.2997,1,250,1,1,1.11302E+13,0,10,-97.21453143,33.77385301
